0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:06 +0100] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:06 +0100] "GET /BTS/Controle/List HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:08 +0100] "GET /BTS/Unite/List HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:08 +0100] "GET /BTS/Matiere/List HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:08 +0100] "GET /BTS/Utilisateur/List HTTP/1.1" 200 3940
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:08 +0100] "GET /BTS/Module/List HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:08 +0100] "GET /BTS/FormeEvaluation/List HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:49 +0100] "GET /BTS/E.Professeur/Evaluation HTTP/1.1" 200 46048
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:49 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:49 +0100] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:50 +0100] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:50 +0100] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:50 +0100] "GET /BTS/Controle/List HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:50 +0100] "GET /BTS/Unite/List HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:50 +0100] "GET /BTS/Matiere/List HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:50 +0100] "GET /BTS/Module/List HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:50 +0100] "GET /BTS/FormeEvaluation/List HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:50 +0100] "GET /BTS/Utilisateur/List HTTP/1.1" 200 3940
