0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:31 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:31 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:31 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:32 +0000] "GET /BTS/Classe/List HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:37 +0000] "GET /BTS/E.Professeur/ClasseDetails?id=2 HTTP/1.1" 200 62995
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:37 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:37 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:37 +0000] "GET /BTS/Classe/Details?id=2 HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:37 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:37 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:38 +0000] "GET /BTS/Scolarite/List?classeId=2 HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:38 +0000] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:38 +0000] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:39 +0000] "GET /BTS/Controle/List?classeId=2 HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:48 +0000] "GET /BTS/E.Professeur/Controle?id=26 HTTP/1.1" 200 53391
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:48 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:48 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:48 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
